,date,close_000166.XSHE,close_000416.XSHE,close_000563.XSHE,close_000567.XSHE,close_000617.XSHE,close_000627.XSHE,close_000686.XSHE,close_000712.XSHE,close_000728.XSHE
61,2017-04-07,6.1,10.33,6.19,30.93,19.22,7.55,11.84,23.89,13.74
62,2017-04-10,6.07,10.27,6.34,29.55,19.5,7.46,11.73,23.49,13.72
63,2017-04-11,6.09,10.14,6.43,29.33,19.27,7.45,11.84,23.3,13.92
64,2017-04-12,6.06,10.06,6.25,29.24,18.69,7.46,11.77,23.66,13.98
65,2017-04-13,6.06,10.05,6.47,29.87,19.24,7.52,11.7,23.43,13.91
66,2017-04-14,5.99,9.98,6.27,31.85,18.85,7.41,11.54,22.5,13.51
67,2017-04-17,5.96,9.62,6.03,30.63,18.95,7.23,11.55,22.15,13.64
68,2017-04-18,5.94,9.66,6.02,30.43,18.6,7.15,11.35,21.75,13.4
69,2017-04-19,5.87,9.4,6.01,27.91,18.2,7.08,11.24,21.79,13.32
70,2017-04-20,5.85,9.16,5.85,25.51,18.45,6.99,11.12,21.41,13.11
71,2017-04-21,5.86,9.15,5.85,25.99,18.56,7.01,11.19,22.07,13.21
72,2017-04-24,5.75,8.57,5.6,24.84,17.54,6.72,10.98,21.62,13.29
73,2017-04-25,5.74,8.65,5.61,24.9,16.83,6.8,10.81,21.53,13.09
74,2017-04-26,5.75,8.89,5.65,25.33,16.81,6.83,10.86,21.92,13.25
75,2017-04-27,5.73,9.02,5.77,25.55,16.91,6.79,10.9,22.5,13.5
76,2017-04-28,5.74,9.18,5.74,25.78,17.09,6.77,10.92,22.46,13.5
77,2017-05-02,5.7,9.15,5.71,25.84,16.96,6.84,10.75,22.35,13.25
78,2017-05-03,5.66,8.85,5.65,25.98,16.75,7.02,10.58,20.12,12.99
79,2017-05-04,5.55,8.85,5.58,25.49,16.75,6.93,10.4,18.1,12.61
80,2017-05-05,5.4,8.74,5.31,25.63,16.41,6.79,9.67,16.29,11.6
81,2017-05-08,5.35,8.53,5.17,25.05,16.42,6.84,9.57,15.42,11.5
82,2017-05-09,5.4,8.67,5.18,25.2,16.37,6.79,9.65,15.31,11.64
83,2017-05-10,5.34,8.86,5.14,24.97,15.91,7.08,9.49,14.93,11.23
